vendor_id,category,country,years_as_vendor,num_orders_completed,avg_order_value_usd,on_time_delivery_rate,defect_rejection_rate,lead_time_variance_days,price_competitiveness,payment_terms_compliance,rfq_response_time_hours,communication_responsiveness_score,price_volatility_across_quotes,dispute_frequency_per_year,has_iso_certification,reliability_score,risk_tier
V0182,Pipes & Fittings,United Kingdom,4.1,25,15300.0,0.084,0.246,11.1,1.108,0.105,45.3,2.3,0.315,7.5,0,0.0,High Risk
V0183,Safety Equipment (PPE),Germany,3.9,15,32000.0,0.515,0.064,2.3,1.157,0.758,42.9,50.3,0.193,1.54,1,71.6,Approved
V0184,Industrial Chemicals,China,1.6,11,40700.0,0.867,0.034,1.8,1.006,0.832,29.5,93.3,0.037,0.0,1,87.0,Preferred
V0185,Safety Equipment (PPE),Singapore,0.3,1,7300.0,0.233,0.175,4.2,0.836,0.288,40.5,22.0,0.193,3.6,1,32.4,High Risk
V0186,Safety Equipment (PPE),UAE,7.7,30,31100.0,0.364,0.144,7.1,0.854,0.435,28.1,30.9,0.075,1.2,0,51.9,Watchlist
V0187,Pipes & Fittings,UAE,2.9,15,6600.0,0.327,0.159,5.9,0.913,0.128,50.3,53.8,0.185,3.25,0,30.5,High Risk
V0188,Electrical Equipment,China,0.5,10,69100.0,0.226,0.205,9.1,0.916,0.295,26.1,56.4,0.135,2.39,0,24.4,High Risk
V0189,Instrumentation,South Korea,10.8,54,4800.0,0.32,0.126,4.3,1.003,0.326,37.6,65.6,0.08,1.56,0,52.1,Watchlist
V0190,Electrical Equipment,China,6.1,46,44200.0,0.906,0.056,2.5,1.021,0.643,44.4,70.8,0.041,1.48,1,70.7,Approved
V0191,Industrial Chemicals,China,5.4,39,7400.0,0.915,0.018,0.2,1.096,0.928,15.9,83.5,0.014,0.09,1,91.0,Preferred
V0192,Industrial Chemicals,China,1.7,10,81800.0,0.305,0.128,10.6,1.063,0.509,23.7,74.7,0.119,2.85,0,51.1,Watchlist
V0193,Industrial Chemicals,India,1.7,23,22700.0,0.908,0.01,0.2,0.838,0.855,17.8,90.8,0.082,0.0,1,96.7,Preferred
V0194,Electrical Equipment,China,4.2,32,5400.0,0.412,0.132,4.0,0.686,0.42,24.0,45.6,0.079,1.16,1,56.2,Approved
V0195,Subsea Hardware,South Korea,4.3,17,8300.0,0.816,0.037,0.2,0.923,0.863,1.0,92.4,0.128,0.22,0,91.6,Preferred
V0196,Valves & Actuators,UAE,1.4,18,27000.0,0.608,0.143,2.9,1.009,0.644,39.3,66.9,0.058,2.79,1,63.0,Approved
V0197,Electrical Equipment,China,1.4,7,34500.0,0.322,0.191,6.6,1.021,0.4,42.2,42.2,0.195,1.58,1,36.1,Watchlist
V0198,Pipes & Fittings,China,1.4,5,12500.0,0.72,0.149,6.3,1.298,0.59,23.0,64.1,0.053,2.82,0,62.1,Approved
V0199,Electrical Equipment,China,2.5,11,13900.0,0.938,0.003,2.0,1.027,0.959,1.0,98.6,0.01,0.0,1,98.0,Preferred
V0200,Subsea Hardware,Nigeria,2.5,19,26400.0,0.719,0.054,1.7,1.075,0.388,10.8,50.2,0.057,0.85,1,71.8,Approved
V0201,Electrical Equipment,Germany,4.4,34,15000.0,0.34,0.192,7.6,0.891,0.335,34.6,31.7,0.135,2.6,0,36.7,Watchlist
V0202,Subsea Hardware,China,5.7,32,4200.0,0.812,0.037,1.5,0.875,0.658,14.5,54.3,0.116,0.66,1,86.5,Preferred
V0203,Safety Equipment (PPE),Germany,3.4,14,6400.0,0.292,0.191,7.7,1.004,0.399,21.1,23.4,0.211,0.87,0,38.1,Watchlist
V0204,Industrial Chemicals,China,3.9,20,16500.0,0.443,0.175,8.5,0.908,0.316,57.1,27.1,0.202,2.06,0,35.5,Watchlist
V0205,Safety Equipment (PPE),Germany,5.8,18,39900.0,0.763,0.066,3.0,1.03,0.725,27.4,79.9,0.059,0.8,1,75.2,Preferred
V0206,Instrumentation,Italy,0.4,1,57200.0,0.347,0.148,8.6,1.052,0.789,36.6,44.4,0.128,1.19,1,55.8,Approved
V0207,Rotating Equipment Spares,India,4.4,19,26900.0,0.564,0.165,3.6,0.823,0.517,38.1,44.7,0.068,1.6,0,56.4,Approved
V0208,Subsea Hardware,UAE,8.8,62,17300.0,0.68,0.13,8.4,1.179,0.557,39.1,51.4,0.07,1.6,0,62.1,Approved
V0209,Instrumentation,Germany,3.3,28,26200.0,0.783,0.094,6.3,0.999,0.837,22.0,36.6,0.048,1.93,0,70.2,Approved
V0210,Rotating Equipment Spares,China,7.8,51,7300.0,0.712,0.147,4.6,0.719,0.514,29.4,69.2,0.079,1.73,1,65.7,Approved
V0211,Instrumentation,China,2.4,15,11600.0,0.078,0.239,11.4,1.089,0.352,44.2,22.7,0.22,3.88,0,1.6,High Risk
V0212,Rotating Equipment Spares,China,6.0,45,6400.0,0.746,0.064,9.9,1.009,0.658,29.3,66.1,0.01,0.0,1,75.4,Preferred
V0213,Rotating Equipment Spares,Nigeria,4.2,31,4300.0,0.317,0.196,7.1,1.195,0.568,42.9,22.4,0.162,4.29,1,35.0,Watchlist
V0214,Safety Equipment (PPE),India,0.7,9,18000.0,0.203,0.22,11.4,1.021,0.301,38.4,21.6,0.261,3.06,0,19.9,High Risk
V0215,Rotating Equipment Spares,UAE,1.5,12,15800.0,0.586,0.143,4.3,1.127,0.542,14.6,15.6,0.179,1.59,0,60.0,Approved
V0216,Instrumentation,Germany,9.9,60,24800.0,0.575,0.071,10.2,1.024,0.514,31.0,62.8,0.087,1.2,0,57.4,Approved
V0217,Valves & Actuators,China,6.3,30,21800.0,0.29,0.124,10.4,0.837,0.262,33.8,84.8,0.081,1.92,0,46.5,Watchlist
V0218,Valves & Actuators,India,3.7,29,16600.0,0.671,0.042,1.6,0.746,0.702,1.0,69.3,0.106,2.08,0,84.4,Preferred
V0219,Safety Equipment (PPE),China,2.5,19,22000.0,0.092,0.191,11.6,1.235,0.342,48.2,17.2,0.065,4.32,0,16.1,High Risk
V0220,Subsea Hardware,China,1.7,17,12900.0,0.419,0.134,7.9,1.2,0.408,45.2,53.7,0.194,2.45,0,47.4,Watchlist
V0221,Pipes & Fittings,UAE,4.7,22,19400.0,0.347,0.189,6.6,1.078,0.323,65.6,66.2,0.136,2.15,0,39.4,Watchlist
V0222,Safety Equipment (PPE),Singapore,2.0,1,6900.0,0.56,0.122,8.0,1.227,0.452,25.7,67.5,0.214,2.21,0,57.8,Approved
V0223,Rotating Equipment Spares,Nigeria,2.8,22,18600.0,0.409,0.11,6.1,1.145,0.72,21.0,19.5,0.021,1.36,0,66.8,Approved
V0224,Instrumentation,China,1.8,14,24400.0,0.288,0.16,9.8,1.153,0.469,25.8,34.1,0.211,2.54,1,36.3,Watchlist
V0225,Rotating Equipment Spares,Nigeria,6.6,22,7300.0,0.864,0.057,3.6,0.827,0.566,26.0,94.6,0.082,1.11,0,76.7,Preferred
V0226,Electrical Equipment,China,3.3,32,14000.0,0.53,0.142,6.9,1.257,0.41,31.9,63.8,0.101,1.13,0,60.1,Approved
V0227,Structural Steel,South Korea,3.3,22,7600.0,0.107,0.236,12.6,1.175,0.186,37.3,4.7,0.137,3.91,0,0.5,High Risk
V0228,Drilling Tools,UAE,0.5,1,8300.0,0.115,0.223,12.4,1.04,0.307,45.5,12.7,0.238,3.94,0,7.6,High Risk
V0229,Drilling Tools,China,2.1,11,4900.0,0.742,0.132,4.4,0.9,0.683,6.4,26.2,0.154,2.16,0,65.7,Approved
V0230,Pipes & Fittings,China,4.1,27,41700.0,0.306,0.208,10.9,1.05,0.268,43.1,67.8,0.219,1.29,1,29.6,High Risk
V0231,Safety Equipment (PPE),China,0.7,4,34900.0,0.495,0.133,3.7,0.755,0.437,21.7,29.3,0.175,2.35,1,56.1,Approved
V0232,Structural Steel,Singapore,3.1,27,21700.0,0.386,0.102,7.2,1.106,0.35,29.8,50.7,0.092,0.82,0,55.1,Approved
V0233,Valves & Actuators,United States,3.7,8,78800.0,0.497,0.1,4.5,0.846,0.514,10.8,39.2,0.06,0.84,1,60.9,Approved
V0234,Rotating Equipment Spares,India,1.5,1,11300.0,0.757,0.059,7.4,1.008,0.874,14.5,64.7,0.01,0.08,1,83.6,Preferred
V0235,Safety Equipment (PPE),UAE,7.0,17,204600.0,0.339,0.199,7.3,0.977,0.133,36.6,49.2,0.244,1.86,0,42.2,Watchlist
V0236,Rotating Equipment Spares,Nigeria,4.3,31,10900.0,0.377,0.205,7.9,1.019,0.116,40.4,23.0,0.134,3.8,0,27.0,High Risk
V0237,Industrial Chemicals,China,2.8,7,16800.0,0.249,0.159,7.1,0.941,0.18,45.6,16.1,0.243,1.93,0,34.2,High Risk
V0238,Safety Equipment (PPE),Italy,2.1,13,9300.0,0.54,0.07,5.9,0.961,0.619,44.7,35.5,0.133,0.65,1,58.4,Approved
V0239,Electrical Equipment,United Kingdom,1.2,14,18700.0,0.916,0.038,0.2,1.221,0.831,27.6,46.8,0.08,1.36,1,83.6,Preferred
V0240,Industrial Chemicals,Nigeria,6.9,62,28300.0,0.318,0.153,6.2,1.229,0.475,45.4,18.6,0.124,1.56,0,43.8,Watchlist
V0241,Pipes & Fittings,UAE,1.5,12,12100.0,0.069,0.237,8.6,1.178,0.179,69.9,6.5,0.266,4.18,0,0.0,High Risk
V0242,Drilling Tools,UAE,0.3,4,66100.0,0.078,0.223,12.1,1.081,0.078,52.2,25.2,0.196,2.56,0,7.1,High Risk
V0243,Valves & Actuators,Italy,1.6,5,16600.0,0.427,0.188,7.4,1.168,0.505,37.1,20.3,0.139,3.27,0,42.8,Watchlist
V0244,Industrial Chemicals,China,4.9,32,17000.0,0.455,0.195,4.1,1.197,0.329,47.1,65.5,0.18,2.98,0,41.9,Watchlist
V0245,Industrial Chemicals,Nigeria,4.2,15,5900.0,0.686,0.154,10.0,0.896,0.53,46.6,26.4,0.131,2.71,0,52.1,Watchlist
V0246,Valves & Actuators,United States,1.4,13,19500.0,0.333,0.137,2.6,0.986,0.307,37.4,46.3,0.078,2.04,1,45.4,Watchlist
V0247,Rotating Equipment Spares,United States,7.8,50,11800.0,0.597,0.13,9.0,0.742,0.432,15.4,23.0,0.164,2.01,0,58.9,Approved
V0248,Safety Equipment (PPE),China,1.3,10,7700.0,0.787,0.066,0.9,1.116,0.763,10.5,87.5,0.07,0.0,1,83.6,Preferred
V0249,Rotating Equipment Spares,China,8.8,73,6600.0,0.398,0.188,12.2,1.344,0.537,32.8,71.8,0.175,1.61,0,31.8,High Risk
V0250,Valves & Actuators,China,3.9,37,147900.0,0.14,0.209,10.6,1.055,0.146,47.1,8.6,0.136,3.71,0,15.9,High Risk
V0251,Pipes & Fittings,United Kingdom,2.9,1,10500.0,0.793,0.113,1.9,0.657,0.621,25.4,56.2,0.038,1.76,0,76.4,Preferred
V0252,Safety Equipment (PPE),United States,2.4,14,3600.0,0.192,0.228,8.6,1.168,0.117,57.5,33.7,0.276,2.67,0,2.7,High Risk
V0253,Pipes & Fittings,Nigeria,4.1,16,7100.0,0.615,0.091,6.3,0.845,0.674,42.3,32.5,0.18,1.21,1,59.7,Approved
V0254,Electrical Equipment,UAE,5.4,27,12800.0,0.617,0.126,5.0,0.895,0.653,43.5,63.8,0.16,1.22,0,62.2,Approved
V0255,Industrial Chemicals,United States,0.5,6,21900.0,0.356,0.174,6.0,1.101,0.676,45.8,69.3,0.107,0.75,1,50.0,Watchlist
V0256,Pipes & Fittings,United States,2.5,10,22000.0,0.83,0.02,4.1,0.959,0.762,3.3,85.9,0.034,0.01,1,85.7,Preferred
V0257,Industrial Chemicals,China,3.6,22,24600.0,0.267,0.152,6.1,0.958,0.511,41.4,43.9,0.217,1.91,0,40.8,Watchlist
V0258,Pipes & Fittings,Nigeria,8.9,52,7500.0,0.819,0.018,0.2,0.8,0.935,4.2,97.5,0.01,0.0,1,95.9,Preferred
V0259,Pipes & Fittings,United Kingdom,7.8,67,18100.0,0.545,0.158,9.1,1.03,0.222,12.2,78.8,0.099,0.52,1,51.1,Watchlist
V0260,Drilling Tools,China,9.8,32,6100.0,0.279,0.191,12.1,1.002,0.315,38.0,18.9,0.271,1.6,0,27.3,High Risk
V0261,Rotating Equipment Spares,United States,7.7,27,7600.0,0.428,0.117,5.4,0.83,0.673,45.3,41.4,0.114,1.19,0,52.8,Watchlist
V0262,Pipes & Fittings,United States,1.3,12,5800.0,0.243,0.198,8.7,1.004,0.24,45.2,12.8,0.257,2.71,1,17.1,High Risk
V0263,Instrumentation,China,3.3,6,4600.0,0.256,0.103,4.1,1.089,0.19,61.0,48.9,0.084,1.64,1,48.9,Watchlist
V0264,Subsea Hardware,Nigeria,7.8,37,34800.0,0.662,0.086,2.1,0.953,0.735,28.6,34.1,0.128,1.75,1,70.2,Approved
V0265,Subsea Hardware,Nigeria,7.4,72,24800.0,0.589,0.077,5.0,0.76,0.438,54.4,60.1,0.199,0.93,1,64.8,Approved
V0266,Drilling Tools,UAE,2.9,4,32200.0,0.228,0.168,7.6,1.179,0.335,37.7,35.4,0.149,2.8,1,32.7,High Risk
V0267,Safety Equipment (PPE),UAE,5.7,25,13800.0,0.844,0.098,3.0,0.54,0.717,21.4,66.5,0.062,0.35,1,75.8,Preferred
V0268,Electrical Equipment,UAE,3.0,16,26900.0,0.797,0.024,4.9,0.875,0.828,4.2,81.7,0.01,0.0,1,91.2,Preferred
V0269,Industrial Chemicals,United Kingdom,1.4,7,2700.0,0.916,0.022,0.2,0.835,0.724,30.4,97.4,0.109,0.12,0,84.5,Preferred
V0270,Drilling Tools,India,3.6,19,29100.0,0.665,0.024,3.7,0.996,0.517,19.2,61.9,0.058,0.0,1,80.5,Preferred
V0271,Instrumentation,Nigeria,3.7,19,15700.0,0.765,0.028,2.1,1.016,0.797,10.0,76.0,0.054,0.59,1,89.1,Preferred
V0272,Valves & Actuators,United States,1.7,23,23500.0,0.167,0.225,10.3,1.263,0.254,62.3,22.2,0.143,2.83,0,15.5,High Risk
V0273,Pipes & Fittings,UAE,5.3,14,18800.0,0.485,0.132,10.6,0.909,0.774,46.8,46.1,0.212,2.78,0,49.0,Watchlist
V0274,Subsea Hardware,United Kingdom,2.7,9,5500.0,0.333,0.214,11.0,1.131,0.151,51.4,54.9,0.217,2.25,0,18.3,High Risk
V0275,Safety Equipment (PPE),Nigeria,4.9,28,3500.0,0.686,0.147,6.3,1.023,0.585,24.6,56.5,0.113,2.43,1,60.5,Approved
V0276,Safety Equipment (PPE),India,6.0,58,7000.0,0.26,0.172,12.3,0.772,0.228,34.5,30.4,0.088,1.22,0,28.3,High Risk
V0277,Safety Equipment (PPE),South Korea,15.4,78,22200.0,0.431,0.125,2.8,1.293,0.632,30.8,16.7,0.204,1.17,0,52.1,Watchlist
V0278,Rotating Equipment Spares,Italy,4.1,26,24900.0,0.884,0.035,0.2,0.69,0.764,22.5,68.5,0.017,0.0,1,90.9,Preferred
V0279,Valves & Actuators,Nigeria,8.1,26,3900.0,0.29,0.138,7.5,1.071,0.358,50.2,16.0,0.072,2.84,0,43.9,Watchlist
V0280,Valves & Actuators,Nigeria,4.5,13,5500.0,0.593,0.066,2.4,1.038,0.505,30.7,68.1,0.013,2.64,1,64.5,Approved
V0281,Instrumentation,India,4.4,14,7000.0,0.605,0.081,7.5,1.053,0.438,55.8,20.7,0.098,1.89,1,60.2,Approved
V0282,Safety Equipment (PPE),United Kingdom,3.4,37,9700.0,0.556,0.103,3.0,0.922,0.576,40.1,74.8,0.044,3.17,1,64.7,Approved
V0283,Industrial Chemicals,Germany,4.1,26,3900.0,0.329,0.152,7.7,1.124,0.586,27.1,50.8,0.089,1.33,0,54.8,Watchlist
V0284,Safety Equipment (PPE),Nigeria,3.2,19,3700.0,0.432,0.172,7.2,0.744,0.609,35.9,57.4,0.137,2.1,1,48.3,Watchlist
V0285,Safety Equipment (PPE),China,7.7,29,6400.0,0.89,0.046,3.0,0.932,0.56,40.0,64.7,0.049,0.0,1,85.1,Preferred
V0286,Subsea Hardware,China,2.6,17,14400.0,0.864,0.017,0.2,0.833,0.881,39.2,91.0,0.064,0.17,1,91.9,Preferred
V0287,Pipes & Fittings,Germany,1.0,1,4600.0,0.51,0.062,2.6,0.883,0.569,41.5,42.5,0.07,0.0,1,70.2,Approved
V0288,Drilling Tools,China,2.6,14,12000.0,0.644,0.098,5.5,1.035,0.792,25.0,46.5,0.097,0.0,1,65.5,Approved
V0289,Drilling Tools,United Kingdom,1.7,11,34600.0,0.118,0.152,9.7,1.219,0.184,37.8,42.2,0.268,3.29,1,29.3,High Risk
V0290,Safety Equipment (PPE),United Kingdom,2.3,13,4100.0,0.657,0.152,0.2,0.953,0.248,37.7,54.7,0.107,0.52,0,61.0,Approved
V0291,Structural Steel,China,3.7,28,11100.0,0.722,0.081,6.1,1.07,0.709,41.6,70.0,0.097,0.95,1,70.4,Approved
V0292,Instrumentation,United Kingdom,2.7,11,33600.0,0.846,0.074,3.6,0.964,0.842,27.4,81.2,0.01,1.46,1,83.1,Preferred
V0293,Subsea Hardware,India,3.3,25,9200.0,0.573,0.1,3.3,0.856,0.581,33.5,56.0,0.186,0.92,1,65.9,Approved
V0294,Electrical Equipment,China,2.7,17,8000.0,0.852,0.077,5.7,0.917,0.675,22.6,78.3,0.056,0.0,1,80.6,Preferred
V0295,Drilling Tools,Germany,5.2,38,38100.0,0.679,0.092,2.7,0.931,0.477,21.6,47.2,0.15,0.63,1,67.4,Approved
V0296,Drilling Tools,Germany,15.9,86,10100.0,0.86,0.029,0.4,0.835,0.903,17.3,95.2,0.06,0.0,0,88.8,Preferred
V0297,Structural Steel,United Kingdom,4.4,27,36100.0,0.678,0.169,6.0,1.05,0.404,29.0,46.4,0.138,1.19,0,57.8,Approved
V0298,Safety Equipment (PPE),China,2.3,26,19700.0,0.472,0.141,11.6,1.053,0.312,53.8,70.1,0.17,2.08,0,47.3,Watchlist
V0299,Instrumentation,Nigeria,0.4,1,9800.0,0.647,0.127,9.0,0.745,0.672,24.1,55.4,0.082,0.96,0,59.7,Approved
V0300,Valves & Actuators,China,11.0,91,20600.0,0.063,0.228,16.3,0.899,0.044,57.0,7.1,0.306,6.33,0,0.0,High Risk
V0301,Electrical Equipment,United Kingdom,4.6,17,17800.0,0.809,0.142,5.9,1.045,0.773,16.2,73.3,0.065,0.53,0,67.0,Approved
V0302,Structural Steel,Italy,1.8,14,33500.0,0.053,0.249,19.7,1.06,0.067,71.4,4.3,0.323,6.87,0,0.0,High Risk
V0303,Valves & Actuators,Singapore,0.3,7,8200.0,0.124,0.226,8.4,1.131,0.268,61.9,7.1,0.178,2.56,0,10.7,High Risk
V0304,Structural Steel,India,3.5,21,13900.0,0.64,0.109,6.2,1.095,0.694,45.4,79.5,0.117,1.17,0,63.9,Approved
V0305,Drilling Tools,United Kingdom,4.2,22,12600.0,0.692,0.107,2.6,0.785,0.591,28.1,88.1,0.075,2.14,1,75.5,Preferred
V0306,Pipes & Fittings,UAE,1.9,6,25200.0,0.169,0.189,10.5,0.846,0.153,47.4,18.5,0.175,3.9,1,15.3,High Risk
V0307,Electrical Equipment,UAE,0.7,8,5300.0,0.327,0.194,7.7,1.287,0.322,34.6,32.0,0.098,2.01,0,35.0,Watchlist
V0308,Drilling Tools,United States,1.5,5,33400.0,0.824,0.023,2.9,0.984,0.662,24.0,74.8,0.071,0.59,1,90.7,Preferred
V0309,Electrical Equipment,UAE,12.1,71,20300.0,0.198,0.141,7.8,0.961,0.471,38.1,30.8,0.144,2.51,0,44.5,Watchlist
V0310,Pipes & Fittings,China,4.8,19,4100.0,0.913,0.024,0.2,0.748,0.926,10.5,97.9,0.01,0.0,1,95.2,Preferred
V0311,Industrial Chemicals,China,2.4,21,39600.0,0.356,0.161,6.5,0.924,0.73,31.7,30.9,0.117,2.16,1,43.9,Watchlist
V0312,Industrial Chemicals,Nigeria,3.9,23,99800.0,0.396,0.07,6.3,0.801,0.658,31.8,42.4,0.108,2.83,1,52.8,Watchlist
V0313,Pipes & Fittings,China,4.2,23,32900.0,0.871,0.018,1.9,1.052,0.891,11.9,95.6,0.016,0.25,0,90.7,Preferred
V0314,Instrumentation,China,1.0,10,48300.0,0.605,0.091,5.3,0.877,0.487,25.9,65.6,0.108,1.97,0,61.4,Approved
V0315,Instrumentation,Germany,6.5,28,14400.0,0.277,0.213,13.3,1.214,0.228,59.5,64.4,0.115,3.31,0,16.7,High Risk
V0316,Industrial Chemicals,Singapore,3.1,24,3000.0,0.542,0.097,7.1,0.945,0.557,63.5,38.2,0.242,0.41,1,55.5,Approved
V0317,Rotating Equipment Spares,Nigeria,4.0,26,2500.0,0.257,0.141,7.2,0.845,0.433,15.9,51.5,0.175,2.05,0,45.1,Watchlist
V0318,Rotating Equipment Spares,Germany,9.1,32,16800.0,0.105,0.226,13.0,1.004,0.254,27.2,11.6,0.195,2.19,0,11.9,High Risk
V0319,Subsea Hardware,Singapore,1.0,20,7800.0,0.676,0.142,7.7,0.619,0.286,20.8,45.8,0.19,1.35,1,52.0,Watchlist
V0320,Rotating Equipment Spares,China,1.6,16,5900.0,0.193,0.207,6.1,1.019,0.224,35.4,9.7,0.054,4.36,0,18.7,High Risk
V0321,Electrical Equipment,United States,5.0,20,12600.0,0.806,0.05,0.2,0.928,0.787,32.4,82.7,0.01,0.36,1,84.6,Preferred
V0322,Pipes & Fittings,United States,6.8,29,23200.0,0.419,0.114,4.7,1.122,0.655,36.8,57.4,0.098,0.9,1,58.4,Approved
V0323,Industrial Chemicals,China,2.1,1,3600.0,0.422,0.111,8.8,0.731,0.291,34.6,41.2,0.064,2.95,0,55.1,Approved
V0324,Subsea Hardware,India,2.2,15,8900.0,0.384,0.17,5.5,1.18,0.59,37.3,39.4,0.113,0.86,0,48.0,Watchlist
V0325,Subsea Hardware,United States,5.8,41,52000.0,0.641,0.08,7.3,1.112,0.469,19.7,38.5,0.12,0.95,1,58.5,Approved
V0326,Instrumentation,United States,14.9,135,5100.0,0.698,0.089,4.4,1.157,0.65,21.5,77.9,0.138,2.05,0,71.5,Approved
V0327,Instrumentation,China,3.5,17,29200.0,0.193,0.195,12.4,1.042,0.503,38.8,11.5,0.108,2.74,0,26.4,High Risk
V0328,Valves & Actuators,China,1.5,13,8600.0,0.149,0.168,8.6,1.204,0.394,20.4,32.4,0.187,1.34,1,34.1,High Risk
V0329,Pipes & Fittings,South Korea,1.9,7,21800.0,0.812,0.035,3.6,0.724,0.828,6.1,94.7,0.071,0.87,0,81.3,Preferred
V0330,Drilling Tools,China,3.1,20,35900.0,0.242,0.199,8.6,1.128,0.71,20.3,67.6,0.156,1.7,1,41.8,Watchlist
V0331,Drilling Tools,China,6.0,45,26000.0,0.186,0.219,14.3,0.955,0.153,51.9,5.9,0.158,4.54,0,4.1,High Risk
V0332,Electrical Equipment,United Kingdom,19.0,95,30300.0,0.86,0.059,0.3,0.73,0.447,28.9,51.5,0.169,0.57,1,79.5,Preferred
V0333,Electrical Equipment,Nigeria,3.0,7,4700.0,0.78,0.099,3.4,0.808,0.495,33.2,70.0,0.094,2.04,1,70.6,Approved
V0334,Structural Steel,Nigeria,3.3,29,36400.0,0.188,0.218,13.0,1.077,0.176,21.7,14.9,0.278,4.88,0,11.7,High Risk
V0335,Safety Equipment (PPE),Nigeria,11.1,99,6200.0,0.56,0.214,9.1,0.865,0.215,10.1,29.6,0.07,0.58,1,42.1,Watchlist
V0336,Structural Steel,China,4.9,18,16900.0,0.47,0.078,4.2,1.02,0.641,31.3,75.4,0.124,0.62,0,67.1,Approved
V0337,Subsea Hardware,China,4.4,16,16900.0,0.44,0.082,4.1,0.71,0.503,1.0,60.0,0.1,1.54,1,60.5,Approved
V0338,Electrical Equipment,Germany,9.8,42,20700.0,0.806,0.127,5.9,0.649,0.757,39.0,90.3,0.075,0.13,0,77.6,Preferred
V0339,Instrumentation,UAE,3.4,25,18100.0,0.122,0.168,12.7,1.276,0.257,20.8,14.8,0.215,3.39,0,22.5,High Risk
V0340,Subsea Hardware,UAE,1.7,14,6300.0,0.51,0.102,4.0,1.119,0.484,37.1,78.6,0.09,1.03,1,62.9,Approved
V0341,Industrial Chemicals,UAE,8.2,62,4000.0,0.385,0.208,7.8,0.858,0.531,22.1,20.6,0.01,1.71,1,30.9,High Risk
V0342,Instrumentation,India,0.6,7,29300.0,0.241,0.159,10.5,1.024,0.511,46.9,20.5,0.01,2.18,0,35.4,Watchlist
V0343,Industrial Chemicals,China,7.7,61,15800.0,0.607,0.026,7.9,1.109,0.583,60.7,82.3,0.144,0.71,0,68.4,Approved
V0344,Drilling Tools,United Kingdom,4.2,32,37600.0,0.847,0.026,3.1,0.989,0.749,1.0,92.4,0.115,0.12,1,88.5,Preferred
V0345,Subsea Hardware,Nigeria,3.6,21,12800.0,0.841,0.047,0.4,0.933,0.561,22.2,77.0,0.134,0.0,1,76.4,Preferred
V0346,Instrumentation,United Kingdom,3.3,25,3800.0,0.771,0.046,1.7,1.099,0.633,1.0,81.2,0.06,0.0,0,84.8,Preferred
V0347,Subsea Hardware,Germany,3.2,10,31900.0,0.364,0.103,7.7,0.896,0.36,36.1,22.7,0.06,1.61,0,47.0,Watchlist
V0348,Subsea Hardware,Nigeria,2.7,9,9600.0,0.672,0.074,4.6,0.987,0.6,24.3,56.0,0.083,1.17,1,74.6,Approved
V0349,Pipes & Fittings,India,5.4,47,18200.0,0.696,0.052,4.0,0.959,0.53,24.7,82.0,0.086,0.36,1,73.6,Approved
V0350,Pipes & Fittings,Germany,2.7,28,7500.0,0.514,0.129,3.0,0.953,0.449,18.0,44.7,0.064,1.76,1,55.4,Approved
V0351,Drilling Tools,Nigeria,3.7,23,58700.0,0.619,0.163,8.8,0.935,0.34,38.2,48.6,0.197,0.0,1,51.3,Watchlist
V0352,Valves & Actuators,South Korea,0.8,6,6100.0,0.72,0.098,0.5,0.97,0.714,5.2,50.1,0.195,0.04,1,71.6,Approved
V0353,Instrumentation,Nigeria,3.6,16,9900.0,0.444,0.147,5.1,1.008,0.561,45.4,35.8,0.147,1.41,0,56.7,Approved
V0354,Safety Equipment (PPE),Germany,2.2,10,14700.0,0.341,0.134,8.6,0.879,0.4,31.7,64.7,0.152,1.63,0,47.9,Watchlist
V0355,Subsea Hardware,United Kingdom,6.8,23,5000.0,0.46,0.109,12.3,1.141,0.41,16.9,40.2,0.074,3.52,0,48.9,Watchlist
V0356,Subsea Hardware,Nigeria,3.2,12,18000.0,0.671,0.094,2.9,0.822,0.401,43.4,47.4,0.169,0.92,0,66.3,Approved
V0357,Pipes & Fittings,Nigeria,6.3,36,57000.0,0.512,0.077,4.3,0.967,0.404,29.2,43.8,0.124,1.76,1,56.6,Approved
V0358,Structural Steel,China,6.0,20,8600.0,0.502,0.09,3.5,0.939,0.518,49.8,28.8,0.09,0.79,1,55.8,Approved
V0359,Valves & Actuators,United States,6.2,51,19100.0,0.594,0.084,8.0,1.02,0.596,38.6,48.1,0.114,0.85,1,64.3,Approved
V0360,Rotating Equipment Spares,South Korea,2.9,4,1100.0,0.486,0.113,0.2,0.701,0.429,23.8,66.3,0.108,0.92,1,58.9,Approved
V0361,Structural Steel,UAE,4.1,21,12900.0,0.761,0.042,1.1,1.096,0.84,22.2,67.2,0.093,0.62,0,78.7,Preferred
V0362,Structural Steel,China,5.1,42,10100.0,0.672,0.092,11.6,0.88,0.715,28.0,87.3,0.031,0.34,1,71.7,Approved
V0363,Instrumentation,United Kingdom,3.4,16,6400.0,0.206,0.218,11.4,1.245,0.151,59.4,19.2,0.23,2.71,0,14.1,High Risk
V0364,Structural Steel,China,3.6,23,35400.0,0.847,0.056,0.2,0.856,0.858,22.3,82.6,0.05,0.0,1,83.0,Preferred
V0365,Pipes & Fittings,China,1.5,13,10000.0,0.437,0.184,7.5,1.018,0.493,36.6,49.0,0.2,1.14,0,39.3,Watchlist
